"height","weight"
171.3,104
176.7,107
182.2,109
169.9,103
189.5,111
170.5,110
170.9,99
160.8,103
178,110
187.5,115
174.2,101
166.1,107
169.7,99
162.3,108
187.7,102
170.2,109
186.9,114
168.1,102
188.4,114
160.4,101
171,109
178.1,109
165,92
161.9,99
165,103
177.4,105
185.5,118
188,113
163.6,91
186.1,109
176,109
189.3,118
182.9,109
184.6,115
167.5,96
174.4,114
166.4,102
168,101
188.8,114
166.9,99
161.5,90
176,117
165.1,99
162.9,110
163.8,96
164.6,105
167.6,94
174.9,104
171,103
184.9,104
170.3,106
172.4,103
181,106
181.4,110
161.2,106
176.9,106
172.2,104
172,103
172.3,106
171.8,103
181,112
176.5,102
173.1,99
189.5,115
183.9,113
173.5,106
175.2,103
175.4,102
180.1,110
184.6,111
170.5,110
171.6,103
186.9,113
189.1,113
182,110
181.7,111
172.2,110
164.4,96
185.6,104
161.8,93
181,109
161.5,105
163.9,102
181.7,115
180.9,104
173,111
177.8,109
186.8,121
163.7,97
183.9,105
169.8,106
187.3,108
173.8,113
175.4,106
187.5,107
183.6,112
179.7,108
188.9,126
171.2,102
175.1,104
169.3,94
167.7,92
178.3,107
171.1,102
185.7,108
181.9,116
178.5,113
164.5,97
183.8,117
167,103
184.8,105
177.8,110
163.4,98
189.9,111
172.5,106
171.3,94
187,117
184,106
166,99
160.4,96
163.4,104
163.3,97
182,108
176.9,115
174.9,105
