"mpg","vehicle","windspeed"
16.5,1,-0.5
8.4,1,-3.7
37.2,1,11.5
33,1,10
46.9,1,12.8
-0.8,1,-2.7
-1,1,-7.7
3.8,1,-7.8
23.4,1,8.2
2.6,1,-9.4
11.3,1,0.7
27.4,1,5.8
18.7,1,-5.4
7.4,1,-6.3
42.2,1,13.9
-12.9,1,-13.2
0.8,1,-7.7
11.3,1,-9.2
-4.9,1,-5.3
17.2,1,-2.7
6.6,1,-3.3
26.6,1,4.2
-1.1,1,-14
6.2,1,-1.9
7.2,1,-1.8
20.2,1,4.2
22.5,1,-1.3
36.3,1,6.6
16.5,1,0.1
22.1,1,3.5
4.3,1,-3.1
40.7,1,10.1
31.7,1,5
9.7,1,-1.9
35.1,1,8.5
24.2,1,4.2
3.9,1,-9
32.8,1,4.1
19.2,1,1.9
0.8,1,-9.3
10.6,1,-3.6
13.8,1,-0.8
45.1,1,11
13.1,1,3.3
11.8,1,-2.6
5.2,1,-4
19.9,1,2.2
39.8,1,8.5
20,2,2.4
18.7,2,6.5
28.6,2,7.5
4.3,2,-9.6
24.9,2,-1.7
31.2,2,10.3
1.7,2,-6.8
-5.5,2,-9.7
25.9,2,5
27.5,2,-0.1
21.9,2,3.5
25,2,1.8
14.6,2,-1.2
37,2,4.7
8.9,2,-10
10.2,2,1.1
-1.3,2,-4.5
26.7,2,9.5
19.9,2,-0.5
2,2,-14.4
-8.9,2,-11
22,2,4.6
4.8,2,-4.7
20.3,2,5.9
31.4,2,1.5
16.1,2,2.1
25.9,2,5.3
22.2,2,7
6.2,2,-8.1
35.2,2,1.9
8.7,2,-2.2
27.4,2,6.7
15.2,2,-2.2
4.9,2,-6.4
28,2,2.3
15.3,2,1.7
-7.5,2,-9.7
20.3,2,4.2
-9.5,2,-14.2
10.8,2,-11
6,2,-3.2
-3,2,-11.8
18.8,2,1.6
-6.8,2,-9.8
16.6,2,-7.5
23.2,2,8.2
14.1,2,0.4
27.4,2,10.1
6.5,2,-8.6
48,2,9.9
5.1,2,-2.2
-11.3,3,-13.4
14.1,3,1.2
-4.9,3,-13.5
15.9,3,-6.7
-40.4,3,-28
11.5,3,-2.5
34.7,3,13.2
10.8,3,4.3
38,3,5.4
5.7,3,-1.8
2.4,3,-8.1
23.9,3,8.6
7.6,3,-4.6
0.7,3,-14.9
-12,3,-11.6
25.8,3,1.4
19.7,3,9.1
22.9,3,5.1
2.6,3,-13.9
21.3,3,8.4
28.8,3,6.1
22.3,3,4.3
21.6,3,1
28,3,2.4
13.4,3,-1.3
16.4,3,1.8
16.2,3,3.3
23.6,3,4.5
25.2,3,2.4
-3.5,3,-4.9
5.8,3,-4.9
12.6,3,-0.7
22,3,2.9
15.5,3,-0.1
17.8,3,3.2
40.1,3,8.9
22.2,3,5
26.3,3,3.8
40.4,3,6.4
14,3,1.4
29.9,3,8
25.9,3,5.9
19.7,3,1.2
34.2,3,4.4
4.5,3,-4.1
-3,4,-8.9
5.2,4,-3.4
33.8,4,5.7
43.2,4,9.8
23.4,4,3.6
35.4,4,11.5
3.1,4,-3
45.6,4,14.9
23.8,4,2
9.1,4,-2
-16.1,4,-12.7
22.4,4,2.4
26.3,4,6.1
39.7,4,8.9
7.7,4,-0.6
18.1,4,1.1
25.6,4,9.3
-6,4,-13.9
34.3,4,5.7
-7.6,4,-9.9
16.3,4,-2.2
7.5,4,-2.4
-15.2,4,-14.9
31.3,4,2.7
31.3,4,6.9
3.6,4,-7.2
24,4,7.4
10.4,4,-1.2
14.5,4,-8.3
42.5,4,17.4
3.7,5,-5.2
24.2,5,7
25.7,5,5.4
27,5,-1.4
-0.2,5,-6.3
18.7,5,0.8
8.3,5,-2.7
11.5,5,-1.9
57.9,5,19.1
1.9,5,-7.7
7.7,5,-4
9.1,5,-0.2
20.4,5,-0.7
27.6,5,0.9
-6.1,5,-9.7
36.7,5,10.3
9,5,-1.2
26.7,5,4.2
27.7,5,-2.5
21.4,5,5.1
16.8,5,2.2
-10.5,5,-12.5
26.7,5,2.8
60.1,5,19.3
23.4,5,7.1
7.9,5,-0.6
10.8,5,1.7
24.9,5,3.3
