"successes","trials","class"
11,31,1
18,42,1
8,34,1
20,43,1
14,34,1
16,43,1
18,36,1
18,30,1
12,28,1
13,32,1
18,34,1
7,31,1
9,35,1
10,29,1
13,35,1
17,43,1
13,31,1
17,51,1
14,40,1
21,46,1
20,38,1
14,33,1
14,30,1
5,21,1
15,28,1
9,33,1
12,31,1
16,45,1
13,29,1
14,31,1
12,34,1
11,37,1
10,32,1
18,40,1
12,31,1
11,31,1
19,42,1
9,32,1
14,34,1
8,26,1
15,32,2
16,38,2
8,33,2
14,38,2
16,44,2
13,36,2
17,29,2
15,33,2
11,26,2
15,44,2
15,34,2
9,30,2
13,41,2
17,32,2
8,34,2
15,32,2
12,33,2
21,44,2
18,35,2
8,21,2
11,35,2
14,40,2
13,34,2
9,28,2
19,43,2
15,38,2
23,41,2
13,31,2
18,37,2
15,32,2
19,33,2
11,35,2
6,32,2
15,29,2
11,27,2
10,32,2
16,30,2
8,27,2
17,32,2
11,34,2
22,45,2
10,39,2
11,35,2
15,33,2
9,32,2
16,31,2
15,34,2
12,36,2
