"lbs","ft3"
10.24,0.1031
13.31,0.1275
11.61,0.1146
7.33,0.073
9.87,0.0998
14.8,0.1064
3.79,0.0644
11.88,0.1182
10.65,0.0816
6.43,0.0968
14,0.122
11.89,0.1308
11.58,0.0924
6.57,0.09
6.88,0.0892
12.77,0.1108
9.65,0.0708
11.7,0.1023
8,0.0972
12.39,0.1009
5.44,0.0841
14.11,0.112
10.24,0.0802
12.32,0.1148
14.1,0.0883
10.4,0.0973
13.26,0.1082
12.28,0.1046
8.28,0.0744
12.71,0.1105
13.84,0.1038
12.1,0.0922
7.82,0.0881
11.07,0.1088
5.79,0.0874
13.02,0.0817
5.35,0.0584
11.32,0.0909
9.21,0.0925
10.87,0.0947
9.25,0.0939
7.39,0.1039
10.92,0.0921
12.72,0.1322
12.96,0.0959
10.06,0.0999
8.41,0.0798
12.59,0.1031
13.7,0.1395
16.22,0.118
10.29,0.0975
9.21,0.0856
12.32,0.124
14.7,0.1247
