"","ticks","Lyme"
"1",25,7
"2",31,12
"3",28,7
"4",18,8
"5",30,9
"6",21,4
"7",29,4
"8",20,9
"9",28,3
"10",22,4
"11",23,6
"12",22,8
"13",29,7
"14",34,13
"15",39,10
"16",20,6
"17",25,11
"18",21,7
"19",29,6
"20",30,4
"21",18,3
"22",24,6
"23",27,6
"24",26,4
"25",18,6
"26",22,5
"27",23,8
"28",22,6
"29",32,11
"30",24,10
"31",23,3
"32",26,2
"33",22,5
"34",23,9
"35",23,6
"36",25,5
"37",23,5
"38",33,9
"39",23,4
"40",24,8
"41",19,4
"42",27,8
"43",25,6
"44",25,6
"45",27,8
"46",25,4
"47",34,11
"48",29,8
"49",19,6
"50",22,5
"51",20,3
"52",32,7
"53",16,2
"54",27,5
"55",26,4
"56",31,6
"57",18,5
"58",28,7
"59",42,15
"60",22,5
"61",26,7
"62",18,6
"63",25,6
"64",35,8
"65",24,4
"66",37,7
"67",25,7
"68",28,6
"69",22,8
"70",26,6
"71",25,2
"72",26,6
"73",31,15
"74",29,6
"75",20,3
"76",18,1
"77",35,10
"78",22,6
"79",31,13
"80",25,6
"81",25,4
"82",16,3
"83",26,2
"84",20,5
"85",19,5
"86",24,10
"87",28,7
"88",20,3
"89",28,5
"90",26,3
"91",25,6
"92",28,7
"93",20,6
"94",26,12
"95",25,7
"96",18,1
"97",22,7
"98",23,6
"99",16,8
"100",18,4
"101",23,6
"102",20,5
"103",19,3
"104",23,7
"105",17,7
"106",26,3
"107",28,6
"108",22,7
"109",24,4
"110",28,4
"111",25,9
"112",23,9
"113",22,9
"114",18,4
"115",30,10
"116",24,7
"117",23,5
"118",29,9
"119",28,9
"120",25,5
"121",16,3
"122",15,5
"123",21,2
"124",19,4
"125",26,7
